NAME,ID,AGE,POS,PPG,APG,RPG,STL,BLK,LINK
Adama Sanogo,sanogad01,22,C,2.0,0.3,1.5,0.0,0.0,https://www.basketball-reference.com/players/s/sanogad01.html
Jahmir Young,youngja05,24,PG,1.8,1.0,0.5,0.0,0.0,https://www.basketball-reference.com/players/y/youngja05.html
E.J. Liddell,liddeej01,24,PF,1.8,0.3,0.8,0.1,0.1,https://www.basketball-reference.com/players/l/liddeej01.html
Chris Duarte,duartch01,27,SG,2.1,0.5,1.2,0.0,0.0,https://www.basketball-reference.com/players/d/duartch01.html
Emanuel Miller,milleem01,24,PF,1.7,0.3,1.3,0.2,0.0,https://www.basketball-reference.com/players/m/milleem01.html
Brandon Miller,millebr02,22,SF,21.0,3.6,4.9,1.1,0.7,https://www.basketball-reference.com/players/m/millebr02.html
LaMelo Ball,ballla01,23,PG,25.2,7.4,4.9,1.1,0.3,https://www.basketball-reference.com/players/b/ballla01.html
Miles Bridges,bridgmi02,26,PF,20.3,3.9,7.5,0.7,0.7,https://www.basketball-reference.com/players/b/bridgmi02.html
Grant Williams,willigr01,26,PF,10.4,2.3,5.1,1.1,0.8,https://www.basketball-reference.com/players/w/willigr01.html
Josh Green,greenjo02,24,SG,7.4,1.6,2.5,1.1,0.2,https://www.basketball-reference.com/players/g/greenjo02.html
Mark Williams,willima07,23,C,15.3,2.5,10.2,0.7,1.2,https://www.basketball-reference.com/players/w/willima07.html
Cody Martin,martico01,29,SF,7.8,2.3,4.5,1.1,0.7,https://www.basketball-reference.com/players/m/martico01.html
Damion Baugh,baughda01,24,SG,7.3,3.7,3.3,1.0,0.1,https://www.basketball-reference.com/players/b/baughda01.html
Tre Mann,manntr01,23,PG,14.1,3.0,2.9,0.5,0.3,https://www.basketball-reference.com/players/m/manntr01.html
KJ Simpson,simpskj01,22,PG,7.8,3.1,3.0,0.9,0.2,https://www.basketball-reference.com/players/s/simpskj01.html
DaQuan Jeffries,jeffrda01,27,SG,6.7,1.1,2.9,0.6,0.5,https://www.basketball-reference.com/players/j/jeffrda01.html
Nick Smith Jr.,smithni01,20,SG,9.9,2.4,2.1,0.3,0.1,https://www.basketball-reference.com/players/s/smithni01.html
Vasilije Micić,micicva01,31,PG,7.5,3.5,2.4,0.4,0.0,https://www.basketball-reference.com/players/m/micicva01.html
Nick Richards,richani01,27,C,8.9,1.3,7.5,0.3,1.2,https://www.basketball-reference.com/players/r/richani01.html
Tidjane Salaün,salauti01,19,PF,5.9,1.2,4.7,0.5,0.2,https://www.basketball-reference.com/players/s/salauti01.html
